CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,EOS_2020,MID_2020,R1_POINTS_2021,R2_POINTS_2021
DC005,Education - Primary Teaching - Irish Sign Language,#,,#316,316.0,,,,,,
DC009,Arts (Joint Honours) - Humanities                 ,347,,347,408.0,376,,376,423,356,
DC010,Post Primary Teacher Education - Religious Educati,386,,386,413.0,441,429,429,465,384,
DC011,Post Primary Teacher Education - Religious Educati,352,,352,389.0,412,391,391,429,409,
DC012,Post Primary Teacher Education - Religious Educati,#367,,#367,415.0,#378,,378,420,409,
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,410,,410,509.0,419,,419,487,413,
DC014,BA in Jazz and Contemporary Music Performance     ,#435,#428,#428,590.0,#419,,419,605,#311,
DC110,Business Studies International                    ,440,,440,462.0,465,,465,488,498,
DC111,Business Studies                                  ,463,,463,479.0,488,,488,507,511,
DC112,Global Business (France)                          ,495,,495,510.0,517,510,510,532,542*,
DC113,Global Business (Germany)                         ,440,,440,476.0,462,,462,496,484,
DC114,Global Business (Spain)                           ,501,,501,543.0,522,,522,545,544,
DC115,Accounting and Finance                            ,487,,487,500.0,510,,510,544,544,
DC116,Global Business (USA)                             ,578,,578,589.0,579,,579,601,613*,
DC117,Aviation Management / Aviation Management with Pil,463,,463,487.0,476,475,475,500,484,
DC118,Gnó agus Gaeilge / Business and Irish             ,357,,357,399.0,359,,359,429,368,
DC119,Global Business (Canada)                          ,566,,566,577.0,564,,564,577,601,
DC120,Enterprise Computing                              ,350,,350,389.0,357,,357,392,403,402
DC121,Computer Applications                             ,370,,370,418.0,400,,400,455,475,
DC123,Data Science                                      ,467,,467,511.0,465,,465,531,501,
DC126,Actuarial Mathematics                             ,520,,520,543.0,560,,560,578,577*,
DC127,Common Entry into Actuarial and Financial Mathemat,509,,509,531.0,532,520,520,543,541,
DC131,Communication Studies                             ,400,,400,441.0,407,402,402,451,421,
DC132,Journalism                                        ,401,,401,440.0,429,422,422,466,452,
DC133,Multimedia                                        ,403,,403,451.0,411,410,410,451,435,
DC155,Applied Language and Translation Studies          ,371,,371,430.0,387,,387,444,427,
DC161,Analytical Science                                ,446,,446,463.0,498*,489,489,510,498,
DC162,Chemical and Pharmaceutical Sciences              ,488,,488,498.0,521,,521,544,531*,
DC163,Chemical Sciences General Entry (Undenominated Ent,,,,,,,,,466*,
DC166,Environmental Science and Technology              ,412,,412,442.0,433,399,399,441,423*,
DC167,Physics with Astronomy                            ,434,,434,477.0,,,,,,
DC168,Genetics and Cell Biology                         ,489,,489,500.0,512*,510,510,529,543*,
DC171,Applied Physics                                   ,402*,402,402,433.0,,,,,,
DC173,Physics with Biomedical Sciences                  ,402*,,402,458.0,,,,,,
DC175,Physics General Entry (options)                   ,,,,,419,402,402,467,400,
DC180,Biological Sciences General Entry (Undenominated E,,,,,,,,,530,
DC181,Biotechnology                                     ,476,,476,488.0,499,495,495,511,530,
DC190,Electronic and Computer Engineering (with choice o,391,,391,433.0,413,,413,465,488,
DC193,Mechatronic Engineering                           ,403,,404,445.0,411,,411,487,490,
DC194,Sustainable Systems and Energy                    ,,,,,,,,,476,
DC195,Mechanical and Manufacturing Engineering          ,401,,401,444.0,425,,425,487,500,
DC197,Biomedical Engineering                            ,402,,402,446.0,423,,423,477,510,
DC200,Common Entry into Engineering (Undenominated Entry,381,,381,444.0,422,,422,487,511,510
DC201,Common Entry into Science (Undenominated Entry)   ,454,,454,477.0,498*,488,488,499,,
DC202,Sport Science and Health                          ,467,,467,476.0,500,498*,498,521,511,
DC203,Science Education                                 ,424,,424,476.0,435,,435,487,462,
DC204,Athletic Therapy and Training                     ,484,,484,500.0,522,519,519,533,558,
DC205,Physical Education with Biology                   ,490,,490,521.0,531,,531,553,565,
DC206,Physical Education with Mathematics               ,443,,443,476.0,499,,499,520,521,
DC207,Psychology and Mathematics                        ,,,,,,,,,521,
DC208,Psychology                                        ,509,,509,521.0,532,521,521,533,565,
DC209,Health and Society                                ,419,,419,440.0,465,440,440,466,477,
DC210,Psychology and Disruptive Technologies            ,,,,,,,,,506,
DC215,General Nursing                                   ,414,,414,443.0,454,433,433,462,456*,
DC216,Mental Health Nursing                             ,368,,368,389.0,418,403,403,424,420,
DC217,Intellectual Disability Nursing                   ,347,,347,362.0,370,,370,390,382,
DC218,Children`s and General Nursing (Integrated)       ,473*,467,467,480.0,500,498,498,522,521*,
